	tt	loss	loss_rec	entropy_marginal	entropy_mean	loss_affine
0	9	-0.126	0.068	2.771	2.768	0.003
1	19	-0.13	0.064	2.771	2.768	0.003
2	29	-0.133	0.061	2.771	2.768	0.003
3	39	-0.135	0.059	2.771	2.767	0.002
4	49	-0.137	0.057	2.771	2.766	0.002
5	59	-0.139	0.055	2.771	2.763	0.002
6	69	-0.141	0.053	2.771	2.757	0.002
7	79	-0.143	0.052	2.771	2.749	0.002
8	89	-0.144	0.05	2.771	2.742	0.002
9	99	-0.146	0.049	2.77	2.736	0.002
10	109	-0.147	0.048	2.77	2.732	0.002
11	119	-0.149	0.046	2.77	2.726	0.001
12	129	-0.15	0.045	2.769	2.722	0.001
13	139	-0.152	0.044	2.769	2.716	0.001
14	149	-0.153	0.043	2.768	2.713	0.001
15	159	-0.154	0.042	2.768	2.707	0.001
16	169	-0.155	0.041	2.768	2.702	0.001
17	179	-0.156	0.04	2.767	2.696	0.001
18	189	-0.157	0.039	2.766	2.69	0.001
19	199	-0.158	0.038	2.766	2.683	0.001
20	209	-0.159	0.037	2.765	2.673	0.001
21	219	-0.16	0.036	2.763	2.661	0.001
22	229	-0.161	0.035	2.762	2.647	0.001
23	239	-0.162	0.035	2.76	2.632	0.001
24	249	-0.163	0.034	2.758	2.619	0.001
25	259	-0.164	0.034	2.757	2.606	0.001
26	269	-0.165	0.033	2.756	2.598	0.001
27	279	-0.165	0.032	2.755	2.589	0.001
28	289	-0.166	0.032	2.755	2.583	0.001
29	299	-0.167	0.031	2.753	2.574	0.001
30	309	-0.167	0.031	2.753	2.569	0.001
31	319	-0.168	0.03	2.752	2.565	0.001
32	329	-0.169	0.03	2.752	2.556	0.001
33	339	-0.169	0.029	2.752	2.552	0.001
34	349	-0.17	0.029	2.751	2.543	0.001
35	359	-0.17	0.028	2.75	2.534	0.001
36	369	-0.171	0.028	2.749	2.526	0.001
37	379	-0.172	0.027	2.749	2.517	0.001
38	389	-0.172	0.027	2.746	2.503	0.001
39	399	-0.173	0.027	2.745	2.494	0.001
40	409	-0.174	0.026	2.742	2.477	0.001
41	419	-0.174	0.026	2.741	2.469	0.001
42	429	-0.175	0.026	2.739	2.456	0.001
43	439	-0.175	0.025	2.738	2.447	0.001
44	449	-0.176	0.025	2.737	2.436	0.001
45	459	-0.176	0.025	2.736	2.43	0.001
46	469	-0.176	0.024	2.735	2.418	0.001
47	479	-0.177	0.024	2.734	2.413	0.001
48	489	-0.177	0.024	2.734	2.408	0.001
49	499	-0.178	0.023	2.732	2.399	0.001
50	509	-0.178	0.023	2.732	2.392	0.001
51	519	-0.179	0.023	2.731	2.384	0.001
52	529	-0.179	0.023	2.731	2.382	0.001
53	539	-0.179	0.022	2.73	2.371	0.001
54	549	-0.18	0.022	2.731	2.373	0.001
55	559	-0.18	0.022	2.73	2.362	0.002
56	569	-0.18	0.022	2.729	2.353	0.002
57	579	-0.181	0.022	2.729	2.35	0.002
58	589	-0.181	0.021	2.729	2.345	0.001
59	599	-0.182	0.021	2.729	2.342	0.002
60	609	-0.182	0.021	2.729	2.336	0.002
61	619	-0.182	0.021	2.728	2.327	0.002
62	629	-0.183	0.021	2.729	2.323	0.002
63	639	-0.183	0.02	2.728	2.313	0.002
64	649	-0.183	0.02	2.729	2.309	0.002
65	659	-0.184	0.02	2.729	2.3	0.002
66	669	-0.184	0.02	2.728	2.291	0.002
67	679	-0.184	0.02	2.728	2.284	0.002
68	689	-0.185	0.02	2.728	2.276	0.002
69	699	-0.185	0.02	2.728	2.265	0.002
70	709	-0.186	0.019	2.728	2.256	0.002
71	719	-0.186	0.019	2.729	2.249	0.002
72	729	-0.187	0.019	2.73	2.246	0.002
73	739	-0.187	0.019	2.729	2.226	0.002
74	749	-0.187	0.019	2.73	2.222	0.002
75	759	-0.188	0.019	2.73	2.209	0.002
76	769	-0.188	0.019	2.729	2.195	0.002
77	779	-0.189	0.018	2.73	2.186	0.002
78	789	-0.189	0.018	2.729	2.166	0.002
79	799	-0.19	0.018	2.73	2.151	0.002
80	809	-0.191	0.018	2.73	2.139	0.003
81	819	-0.191	0.018	2.73	2.119	0.003
82	829	-0.192	0.018	2.73	2.103	0.003
83	839	-0.192	0.018	2.73	2.085	0.003
84	849	-0.193	0.018	2.73	2.062	0.003
85	859	-0.194	0.018	2.728	2.035	0.003
86	869	-0.195	0.018	2.729	2.02	0.003
87	879	-0.195	0.018	2.728	1.99	0.003
88	889	-0.196	0.017	2.729	1.97	0.004
89	899	-0.197	0.017	2.728	1.941	0.004
90	909	-0.198	0.017	2.727	1.91	0.004
91	919	-0.199	0.017	2.728	1.886	0.004
92	929	-0.2	0.017	2.729	1.862	0.004
93	939	-0.201	0.017	2.729	1.837	0.004
94	949	-0.201	0.017	2.729	1.81	0.004
95	959	-0.202	0.017	2.728	1.78	0.005
96	969	-0.203	0.017	2.729	1.756	0.005
97	979	-0.204	0.017	2.727	1.726	0.005
98	989	-0.205	0.017	2.727	1.7	0.005
99	999	-0.205	0.017	2.727	1.681	0.005
100	1009	-0.206	0.017	2.729	1.659	0.005
